Country,E,I,S,N,T,F,P,J
Madagascar,0.4674,0.5326,0.3404,0.6596,0.3764,0.6236,0.5871,0.4129
Malawi,0.5338,0.4661,0.4411,0.5588,0.3095,0.6904,0.5036,0.4963
Malaysia,0.4749,0.5249,0.4982,0.5016,0.2142,0.7856,0.5684,0.4314
Maldives,0.4139,0.5863,0.3279,0.6723,0.2795,0.7207,0.6017,0.3985
Mali,0.5155,0.4886,0.4846,0.5195,0.3529,0.6512,0.4885,0.5156
Malta,0.4746,0.5252,0.3284,0.6714,0.3107,0.6891,0.5561,0.4437
Mauritius,0.5349,0.4652,0.375,0.6251,0.3303,0.6698,0.523,0.4771
Mexico,0.5173,0.4826,0.3265,0.6734,0.377,0.6229,0.5716,0.4283
Monaco,0.6242,0.3759,0.3836,0.6165,0.3533,0.6468,0.5138,0.4863
Mongolia,0.5122,0.4877,0.4141,0.5858,0.4192,0.5807,0.5016,0.4983
Montenegro,0.5364,0.4638,0.2829,0.7173,0.4705,0.5297,0.5466,0.4536
Morocco,0.455,0.545,0.2666,0.7334,0.4633,0.5367,0.6074,0.3926
Mozambique,0.5452,0.4546,0.3799,0.6199,0.3181,0.6817,0.5368,0.463
Myanmar,0.4722,0.5275,0.4915,0.5082,0.3197,0.68,0.5687,0.431
Namibia,0.4989,0.501,0.3944,0.6055,0.3097,0.6902,0.5378,0.4621
Nepal,0.4712,0.529,0.3385,0.6617,0.3051,0.6951,0.625,0.3752
Netherlands,0.5131,0.4867,0.3492,0.6506,0.2981,0.7017,0.5852,0.4146
New Zealand,0.502,0.498,0.4131,0.5869,0.2326,0.7674,0.5433,0.4567
Nicaragua,0.633,0.367,0.4781,0.5219,0.3047,0.6953,0.4721,0.5279
Niger,0.5622,0.438,0.5455,0.4547,0.3375,0.6627,0.3841,0.6161
Nigeria,0.5622,0.438,0.5455,0.4547,0.3375,0.6627,0.3841,0.6161
Macedonia,0.5235,0.4765,0.3119,0.6881,0.456,0.544,0.5131,0.4869
Norway,0.4796,0.5202,0.3581,0.6417,0.3191,0.6807,0.5743,0.4255
Oman,0.5443,0.4558,0.4373,0.5628,0.3251,0.675,0.5235,0.4766
Pakistan,0.5534,0.4464,0.431,0.5688,0.2889,0.7109,0.5403,0.4595
Panama,0.4973,0.5026,0.3432,0.6567,0.3383,0.6616,0.5837,0.4162
Papua New Guinea,0.5085,0.4915,0.4637,0.5363,0.2448,0.7552,0.5057,0.4943
Paraguay,0.4319,0.5682,0.2826,0.7175,0.4093,0.5908,0.6028,0.3973
Peru,0.4977,0.5021,0.3177,0.6821,0.3588,0.641,0.5892,0.4106
Philippines,0.4633,0.537,0.4448,0.5555,0.2638,0.7365,0.5636,0.4367
Poland,0.4087,0.5913,0.298,0.702,0.4707,0.5293,0.5851,0.4149
Portugal,0.4031,0.5969,0.2823,0.7177,0.3032,0.6968,0.6076,0.3924
Qatar,0.5271,0.473,0.4121,0.588,0.3088,0.6913,0.5496,0.4505
South Korea,0.4867,0.5133,0.4387,0.5613,0.3269,0.6731,0.5633,0.4367
Moldova,0.5022,0.498,0.3311,0.6691,0.4804,0.5198,0.5189,0.4813
Romania,0.5062,0.494,0.3087,0.6915,0.4509,0.5493,0.5587,0.4415
Russia,0.4294,0.5707,0.3562,0.6439,0.503,0.4971,0.5757,0.4244
Rwanda,0.6046,0.3955,0.5057,0.4944,0.3232,0.6769,0.4275,0.5726
Saint Kitts and Nevis,0.4319,0.5679,0.4026,0.5972,0.2855,0.7143,0.4811,0.5187
Saint Lucia,0.4268,0.5733,0.4155,0.5846,0.3245,0.6756,0.5148,0.4853
Saint Vincent and the Grenadines,0.4283,0.5718,0.3571,0.643,0.3284,0.6717,0.5549,0.4452
Saudi Arabia,0.5089,0.4909,0.3934,0.6064,0.3792,0.6206,0.5313,0.4685
Senegal,0.5432,0.4572,0.3972,0.6032,0.3182,0.6822,0.5391,0.4613
Serbia,0.5104,0.4893,0.2894,0.7103,0.4787,0.521,0.5609,0.4388
Seychelles,0.5326,0.4671,0.3775,0.6222,0.3449,0.6548,0.5541,0.4456
Singapore,0.4426,0.5573,0.5069,0.493,0.2069,0.793,0.5857,0.4142
Slovakia,0.4288,0.5711,0.3152,0.6847,0.3982,0.6017,0.568,0.4319
Slovenia,0.4695,0.5305,0.3193,0.6807,0.3669,0.6331,0.5719,0.4281
Somalia,0.5142,0.4856,0.558,0.4418,0.3797,0.6201,0.46,0.5398
South Africa,0.5271,0.473,0.4059,0.5942,0.3091,0.691,0.4872,0.5129
Spain,0.4968,0.5033,0.2949,0.7052,0.3046,0.6955,0.5891,0.411
Sri Lanka,0.5601,0.4399,0.3895,0.6105,0.2992,0.7008,0.5366,0.4634
Sudan,0.5078,0.4922,0.3812,0.6188,0.4184,0.5816,0.528,0.472
Suriname,0.4643,0.5359,0.3697,0.6305,0.289,0.7112,0.5519,0.4483
Sweden,0.4896,0.5104,0.372,0.628,0.3404,0.6596,0.5728,0.4272
Switzerland,0.5269,0.4729,0.3528,0.647,0.3347,0.6651,0.5526,0.4472
Syria,0.5205,0.4797,0.3216,0.6786,0.504,0.4962,0.526,0.4742
Tajikistan,0.5632,0.4372,0.4985,0.5019,0.345,0.6554,0.5394,0.461
Thailand,0.5103,0.4896,0.4724,0.5275,0.2823,0.7176,0.5184,0.4815
Trinidad and Tobago,0.4471,0.5527,0.3888,0.611,0.3174,0.6824,0.5093,0.4905
Tunisia,0.4693,0.5304,0.2408,0.7589,0.4343,0.5654,0.6211,0.3786
Turkey,0.5242,0.4758,0.3359,0.6641,0.4481,0.5519,0.5695,0.4305
Uganda,0.5569,0.4431,0.5037,0.4963,0.3137,0.6863,0.4564,0.5436
Ukraine,0.5061,0.4937,0.3989,0.6009,0.4974,0.5024,0.5065,0.4933
United Arab Emirates,0.5677,0.4326,0.4219,0.5784,0.31,0.6903,0.5199,0.4804
United Kingdom,0.4887,0.5113,0.3768,0.6232,0.2756,0.7244,0.5577,0.4423
Tanzania,0.5586,0.4415,0.4377,0.5624,0.3484,0.6517,0.4916,0.5085
United States,0.4705,0.5015,0.3776,0.5944,0.2818,0.6902,0.5347,0.4373
Uruguay,0.415,0.5848,0.2813,0.7185,0.3495,0.6503,0.5962,0.4036
Uzbekistan,0.5821,0.4177,0.4576,0.5422,0.485,0.5148,0.4504,0.5494
Vanuatu,0.5484,0.4645,0.473,0.5399,0.2724,0.7405,0.5525,0.4604
Vietnam,0.5021,0.498,0.4523,0.5478,0.295,0.7051,0.5562,0.4439
Yemen,0.5191,0.4807,0.3801,0.6197,0.4395,0.5603,0.5535,0.4463
Zambia,0.5295,0.4706,0.4676,0.5325,0.3342,0.6659,0.4506,0.5495
Zimbabwe,0.5478,0.4524,0.4248,0.5754,0.3343,0.6659,0.4704,0.5298
